state,district,digital_gender_gap_5,f_mean_age_5,f_mean_education_5,f_mean_yrs_edu_5,f_pct_literate_5,f_mean_wealth_idx_5,f_mean_wealth_scr_5,f_pct_urban_5,f_pct_rural_5,f_mean_hh_size_5,f_pct_married_5,f_pct_never_married_5,f_pct_divorced_5,f_pct_has_mobile_5,f_pct_mobile_fin_5,f_mean_bf_dur_5,f_mean_bf_months_5,f_pct_ever_breastfed_5,f_pct_early_bf_5,f_n_respondents_5,m_mean_age_5,m_mean_yrs_edu_5,m_pct_no_edu_5,m_literacy_rate_5,m_urban_share_5,m_mean_wealth_idx_5,m_mean_hh_size_5,m_pct_married_5,m_pct_in_union_5,m_pct_live_partner_5,m_pct_owns_mobile_5,m_pct_has_bank_account_5,m_pct_currently_working_5,m_pct_dv_goes_out_5,m_pct_dv_neglect_5,m_pct_dv_argues_5,m_pct_dv_sex_5,m_pct_dv_food_5,m_pct_dv_unfaith_5,m_pct_dv_disresp_5,m_pct_any_dv_5,m_pct_owns_house_5,m_pct_owns_land_5,m_pct_smokes_cigarettes_5,m_pct_smokes_bidis_5,m_pct_uses_tobacco_5,m_pct_drinks_alcohol_5,m_pct_drinks_freq_5,m_pct_father_beat_5,m_pct_wife_emp_5,m_n_respondents_5
jammu & kashmir,kupwara,27.393265,29.195347,1.6410278,7.9915166,76.924789,2.8697309,70941.4742,15.39882,84.601181,5.4852061,57.874973,41.386662,0.73836565,70.981445,35.775616,71.296043,24.283838,31.736807,51.190502,364.3983168,31.542894,10.250922,10.391953,91.377312,20.507076,159394,5.2685308,61.636364,61.636364,100,98.37471,82.091064,72.189919,15.378043,17.353954,8.975688,9.243597,4.7367272,17.317345,31.252277,44.292,33.152267,36.721466,35.770107,0.64439148,35.770107,0,0,6.6491036,1.3232093,78.64985743
jammu & kashmir,badgam,27.612663,29.86186,1.6539732,8.1208305,75.442055,3.3930981,405294.9336,17.304678,82.69532,5.5366216,56.414211,42.797218,0.78857297,67.951347,32.371693,76.764137,27.718256,24.804131,66.489967,318.8649709,31.276089,9.2764006,20.100365,80.458656,17.038624,329367.34,5.6863065,51.730747,51.730747,98.818306,95.564011,87.010414,68.961372,35.377193,34.801105,36.190815,31.140232,29.679417,39.340099,38.10825,44.94112,45.525661,44.08115,17.80139,1.18356,18.858994,0,0,19.472525,3.3356264,72.58085811
jammu & kashmir,punch,17.541183,29.526312,1.7042576,8.2451286,81.444725,2.9779043,138425.1597,6.253747,93.746254,5.3310847,61.30048,37.147339,1.5521792,79.773064,22.761375,69.514671,25.556433,33.016891,66.535561,285.3375326,30.606325,10.497737,8.7183132,91.137054,8.2928686,193214.64,5.2170382,56.386246,56.386246,100,97.314247,83.627831,78.216644,29.617754,29.547855,33.167889,32.700867,32.035591,36.209629,33.812931,46.584526,61.857952,65.579315,15.662914,7.7726951,22.790236,2.5915215,0.51830429,20.109905,5.0576029,61.08785996
jammu & kashmir,rajouri,24.58532,28.936758,1.7156445,8.2309685,82.235062,3.0443552,169240.0174,5.4197202,94.580284,5.328856,65.081978,33.314266,1.6037581,73.97789,22.379889,75.568054,29.36775,26.40097,52.156742,406.4920388,30.315643,10.181557,6.1504397,92.60096,4.032577,215306.05,5.3296642,61.755287,61.755287,100,98.56321,76.470276,72.596703,5.5092711,9.253396,10.238303,2.8990378,5.7504339,27.037397,27.862627,35.0797,20.701653,22.984108,22.083019,2.3566012,23.810675,9.5521135,7.1519518,5.1707377,2.6984379,91.59135604
jammu & kashmir,kathua,14.85289,30.758522,1.9317582,9.7160645,89.328171,3.9389777,774213.7552,16.682533,83.317474,4.8166699,62.296547,35.936363,1.7670884,83.89183,87.12413,70.94632,23.881939,25.705572,70.883186,374.9571705,30.185637,10.943253,2.414542,97.585457,17.023388,591017.31,4.894258,49.231049,49.231049,100,98.74472,95.814323,41.425793,3.6762812,4.9305224,4.2943978,5.1047783,3.6126289,15.143551,15.654428,21.202612,61.497932,61.592571,6.3390689,26.516056,33.958641,33.36924,23.195637,1.88779,4.955328,75.40679973
jammu & kashmir,baramula,25.902351,29.582075,1.4695088,7.1117153,68.525536,3.0488176,200861.1823,21.596214,78.403786,6.2034841,55.661438,43.680443,0.65811998,68.268982,20.173328,77.451599,28.222519,23.123602,57.047535,585.1166965,31.035151,9.8158817,12.748716,87.743279,20.230333,304215.72,5.9492321,51.089848,51.089848,100,94.171333,83.077026,70.361069,31.00106,31.689457,34.145538,14.046338,14.418417,39.291561,38.812828,51.638943,63.600723,54.157619,29.951206,0.47683382,30.783133,1.3538697,0.67693484,11.254693,8.8438768,135.4725585
jammu & kashmir,bandipore,34.071407,29.636784,1.467622,7.0648971,68.190002,2.8795083,80576.8337,18.907959,81.092041,6.0195599,52.999912,45.105976,1.8941097,61.50359,5.0978727,75.799103,32.324947,25.997156,40.000546,207.9021212,30.682674,8.1122389,21.338888,74.97921,17.014547,17897.6,5.6869369,48.669434,48.669434,98.672798,95.574997,84.354576,66.929718,29.991045,28.045918,24.261862,27.277527,11.643388,42.325886,29.955132,55.053211,42.663376,35.658482,30.137114,0.52433729,30.137114,0,0,9.1956892,2.1546884,43.6491933
jammu & kashmir,srinagar,20.110931,30.512943,1.8760419,9.5012779,80.014313,4.0730963,860521.72,99.600266,0.39973152,4.6351285,58.357597,40.390167,1.2522382,78.477379,27.184963,71.937897,23.536047,32.32914,75.775566,633.3913486,31.760138,10.70775,10.23725,88.402466,100,882454.94,4.5500245,52.686661,52.686661,98.59584,98.58831,85.97171,64.887436,26.912865,28.463474,28.929434,13.033154,9.2680359,32.781662,42.502743,51.905243,46.911591,37.5163,22.875792,0.83616745,23.711958,0,0,18.698463,12.759882,147.3934307
jammu & kashmir,ganderbal,36.121445,29.689219,1.4206368,6.8679008,65.919464,3.1501825,263972.3349,15.616179,84.38382,5.7781205,60.332321,38.341946,1.3257343,61.5849,13.647263,77.558418,27.764963,22.824833,63.464211,151.6039113,32.114914,10.364247,9.6387672,86.168175,17.939228,337285.25,5.8469748,57.807053,57.807053,98.817299,97.706345,92.091988,71.922478,38.866589,25.895506,36.180283,21.452347,21.622648,37.999851,43.111122,68.240967,64.157585,59.508728,38.931606,2.602212,40.850136,0,0,15.021467,6.4446559,32.08082169
jammu & kashmir,pulwama,21.599915,30.112158,1.7249135,8.518425,77.643852,3.5614088,527673.5041,4.4379368,95.562065,5.3644705,57.180492,41.856907,0.9626013,74.09185,12.77091,69.698402,29.479708,35.395855,43.497311,250.0158561,32.564201,11.786759,3.2780805,94.030327,4.8065825,547876.69,4.9524355,57.46104,57.46104,100,95.691765,92.360184,70.874557,21.770828,20.356817,18.472769,14.361842,13.229314,21.793554,24.19693,32.875191,41.116177,41.025917,22.571337,0.91447002,22.746143,0,0,4.093976,1.2872443,51.12064646
jammu & kashmir,shupiyan,18.93486,30.076265,1.8152254,9.0026388,82.149734,3.3959086,425032.0895,6.3103251,93.689674,4.9547601,58.315868,41.326855,0.35727912,80.406013,17.762375,71.591339,30.113873,32.52813,43.812077,134.2952821,30.927366,11.141948,8.0002785,92.413467,5.6730933,543117.31,5.1017284,62.957489,62.957489,98.733765,99.340874,90.06427,72.328773,19.158749,20.046831,19.71991,13.708485,23.929878,31.75897,39.145958,43.832268,50.378887,46.852062,24.252735,1.2972709,24.252735,0,0,10.729891,6.4704871,26.02178192
jammu & kashmir,anantnag,23.132988,29.878786,1.6969427,8.4829645,75.340919,3.4378941,441878.0804,25.950617,74.049385,5.0668621,55.00803,43.883827,1.1081424,74.853958,34.475784,77.510292,27.93549,23.293814,50.829391,508.5895435,31.032244,9.8209019,19.574156,82.329628,30.424946,306403.94,4.7189975,52.730644,52.730644,96.545258,97.986946,91.18605,59.743233,27.510292,29.663185,29.868618,28.395203,27.244583,34.555126,36.26506,42.327656,57.015045,52.006878,17.344444,1.149254,17.344444,0,0,32.420185,6.499505,103.6934484
jammu & kashmir,kulgam,39.182495,29.406267,1.5647972,7.6770091,71.85598,2.7421312,-9918.621808,18.953279,81.046722,5.5082426,57.75349,41.220016,1.0264868,60.817505,18.500544,80.142555,27.194553,20.466501,67.966339,240.2088661,30.422258,10.313273,12.222545,87.832108,25.683975,45346.906,5.3388014,55.532539,55.532539,100,100,67.74353,73.193344,62.767464,56.831669,55.187408,47.966679,48.978176,52.972176,53.036869,71.838951,25.329191,29.053825,14.935984,1.2546672,16.190651,0,0,13.401827,9.0362959,52.5192664
jammu & kashmir,doda,35.785858,29.96545,1.5083743,7.5553079,70.820915,2.7368493,-13218.88367,7.6109896,92.389008,5.2137756,67.146896,30.881954,1.9711511,64.214142,10.074397,74.294693,29.898998,27.986877,75.093254,221.3144826,29.411722,9.9997301,7.6515446,86.521988,8.0323229,-134903.84,5.1184721,53.98925,53.98925,98.647484,100,84.994171,65.26577,57.427341,40.744232,35.016251,23.00106,15.319146,35.083458,54.972309,75.381233,55.610657,57.909626,14.192219,8.6774349,27.182171,5.5634556,3.0175383,20.028328,7.8106732,50.18411684
jammu & kashmir,ramban,12.398613,29.50416,1.3375582,6.4247842,64.971817,2.3051553,-317976.4309,3.066314,96.933685,5.5968723,63.088673,35.102741,1.8085834,86.989029,18.12513,76.36441,28.079386,25.538483,63.756134,180.2850218,31.523802,9.6566429,10.050853,87.48143,3.8492467,21186.143,5.3345389,59.894188,59.894188,100,99.387642,81.345245,78.706566,39.216938,37.992241,42.778152,40.576431,35.836525,48.604393,37.890156,57.656223,52.890438,52.342808,20.142313,12.096125,31.050051,11.942324,10.12561,19.40781,3.9359522,38.65447113
jammu & kashmir,kishtwar,31.115021,30.475534,1.6089479,7.9209309,74.71357,2.8643355,42793.39658,6.4813137,93.518684,5.2493873,62.099724,36.053379,1.8468943,51.712257,17.371849,76.56604,38.739174,24.545725,42.06377,153.0845598,32.307045,10.014453,15.194063,82.803818,5.4484167,-4496.8008,4.9492774,60.113991,60.113991,100,82.827278,79.430672,57.187767,19.087807,17.768221,22.594145,12.549345,12.849821,22.640459,26.170795,35.257847,50.074715,49.866844,18.843401,5.3424377,24.226664,3.9595141,2.4762609,6.4254947,3.3931975,29.79463901
jammu & kashmir,udhampur,15.959061,29.926592,1.6557432,8.0254383,79.610641,3.21895,287009.1316,15.525497,84.474503,5.1918945,66.23838,31.935062,1.8265605,82.363655,24.777145,76.853355,29.783117,23.573923,48.407543,301.8878955,32.901482,10.059517,8.7346134,91.210953,14.342017,557990.44,5.1915174,65.90303,65.90303,100,98.322716,81.617447,71.56205,11.551723,12.767701,15.702577,9.5233088,14.246307,25.717064,32.818893,41.51432,29.685402,30.081999,26.010508,5.1817646,28.644108,30.421406,20.606569,4.4859829,1.012058,69.36402023
jammu & kashmir,reasi,27.055199,29.456558,1.4897858,7.2688899,70.869156,2.6779823,-88738.51838,8.0593061,91.940697,5.2120161,67.744644,31.338137,0.91722095,70.399109,14.532961,74.065598,30.94434,26.844809,56.219357,172.2203264,31.545387,9.6426792,13.990952,82.501633,8.6764679,1491.304,5.2264123,65.219955,65.219955,100,97.454308,92.671295,77.516747,56.389881,32.502399,29.107269,18.302893,21.587402,40.197155,56.801571,67.395256,57.29388,59.901417,18.137867,6.8809814,27.82918,10.748215,2.1171312,15.798436,2.2027802,36.49651022
jammu & kashmir,jammu,10.109016,30.966784,2.1042876,10.692978,92.425072,4.4473,1155215.271,45.725895,54.274105,4.934792,65.972534,31.844946,2.1825159,87.55526,31.667053,66.508438,26.883636,36.950417,51.620205,926.4430797,33.466682,11.846392,4.3654561,95.934647,52.725327,1195125.6,4.7068934,66.753372,66.753372,100,97.664276,89.643585,81.360832,10.481708,13.258481,16.802519,7.132966,4.9054708,19.706541,17.898235,27.151007,56.311005,36.047104,20.054964,5.0336809,22.799086,39.478668,21.891209,5.3721023,8.2467957,173.9677838
jammu & kashmir,samba,10.219368,30.468079,1.8855588,9.4118109,86.665421,4.039145,849911.7484,5.4248052,94.575195,5.1369448,68.093246,30.85376,1.0529957,88.909767,26.760897,69.143944,28.496893,34.828827,67.079781,185.4147216,31.600874,11.208659,3.3465433,95.852264,5.8509502,947615.06,5.0192618,59.445065,59.445065,100,99.129135,96.003273,69.449081,24.915134,21.45183,18.807325,14.849204,8.3755598,39.608105,30.109383,43.730988,36.373199,38.285366,21.393023,2.1596229,22.820267,32.836784,18.802664,9.7015543,4.4390802,38.7024992
himachal pradesh,chamba,29.156433,31.005077,1.6367918,8.2684813,82.934135,3.1341097,256862.0969,7.7876754,92.212326,4.8804188,72.903847,24.664616,2.4315367,69.748131,15.965775,62.884621,20.286341,41.855824,46.881725,265.9935975,33.528923,9.6697531,5.4240122,91.193619,6.8058066,87576.68,5.144794,73.558014,73.558014,94.595596,98.904564,92.167953,73.760445,0.82070243,7.5093441,5.6950531,1.2023745,0.93933475,4.6188397,14.547978,15.969868,33.273556,36.880608,8.5895004,19.470156,21.684044,27.732855,16.949671,10.718928,7.5749321,44.4187783
himachal pradesh,kangra,19.608307,32.180405,2.0798612,10.609442,95.870399,3.8283606,718935.5366,5.0744138,94.925591,4.9286184,69.844093,26.662086,3.4938204,76.085838,11.716949,57.69553,23.359287,47.138054,51.052177,913.7836449,32.605892,10.19284,2.0001903,87.744316,6.382288,649017.38,4.6405001,59.102325,59.102325,97.03569,95.694145,96.511147,56.268597,2.7055411,3.6459327,2.4962556,0.71343666,1.4985036,3.4470763,6.4747214,11.138419,28.345474,27.452534,11.509557,20.884048,28.314621,36.457409,25.477272,7.7151241,14.401928,172.7316631
himachal pradesh,lahul & spiti,10.406158,34.417999,1.761014,8.9721737,86.344421,2.5219631,-142566.9172,0,100,4.1886892,79.869347,16.636644,3.4940109,89.593842,7.5750322,57.740326,18.128582,48.366402,61.71978,12.29501006,37.037498,10.038997,2.4983504,95.666275,0,-59500.363,4.2510748,77.460258,77.460258,89.623695,100,80.147728,80.262268,1.8433591,1.9066885,4.076714,1.8433591,0.87572861,1.9066885,2.8743188,4.076714,41.7584,44.458626,17.386427,24.176632,30.199455,46.768959,30.171505,4.452095,35.540154,2.894390004
himachal pradesh,kullu,17.502579,31.735609,1.8432937,9.0445442,89.509247,3.2859883,347681.3693,10.874178,89.125824,4.955009,74.677399,22.772261,2.5503366,79.709328,14.361546,55.983116,19.297871,47.941566,51.088219,236.5893312,33.993855,9.4620237,4.6116428,92.186462,9.6906319,214428.23,4.322063,65.487083,65.487083,91.239799,97.211906,91.738617,80.079597,4.8689222,6.5970645,4.0872755,2.6314421,3.7610781,5.4431472,7.8594646,13.5384,43.332695,44.137589,10.668659,24.770849,29.870874,32.211422,20.190155,3.0179696,15.027349,55.40509668
himachal pradesh,mandi,12.34729,32.566071,2.0578713,10.685595,94.273544,3.6000638,577474.2012,11.075159,88.924843,4.9604645,79.164612,17.610516,3.2248714,85.434113,18.222301,52.52282,19.016182,51.98497,45.86591,565.5405114,33.643486,11.828588,0.81440657,96.661537,14.978391,500548.47,4.2819753,59.204292,59.204292,100,97.781403,87.447334,61.203522,4.1923852,7.1717553,9.2252321,2.5359271,1.8011845,5.8734632,9.4793367,16.54146,36.807865,32.207932,9.3921366,22.538671,27.797634,42.542351,24.99898,5.9327974,24.599014,109.5436813
himachal pradesh,hamirpur,13.298889,32.489674,2.1644669,11.19332,96.542397,3.8773878,764119.0861,9.3682661,90.631737,4.821991,75.728912,22.241152,2.0299387,85.37944,21.083504,61.337288,21.149199,44.353668,43.308178,247.9542462,32.845829,11.203255,1.0118294,98.988167,7.9458532,689418.63,4.7697649,63.290428,63.290428,91.139313,98.678329,90.884239,69.61541,7.6662607,6.5089726,7.0685668,1.9192249,6.0173483,7.5453253,16.222862,22.357264,39.888115,35.735905,10.778419,26.814634,33.645432,38.783257,18.423788,10.078923,8.658864,41.52864268
himachal pradesh,una,19.577782,31.950972,2.0742402,10.520745,94.517586,4.1497078,951194.8999,12.787782,87.212219,5.0920753,72.216225,24.13603,3.6477461,73.450241,13.452949,61.872967,25.350426,39.041428,20.000944,283.6262424,34.850407,9.8878098,8.5371504,89.645973,13.940646,639841.94,4.469852,63.49963,63.49963,93.098053,93.028023,84.690117,70.522728,4.7746468,8.8614998,5.4161754,4.5018535,0,9.4346981,11.309104,22.503939,26.770178,31.608974,9.0614986,28.751225,37.983788,32.993568,21.292526,4.38271,26.292791,60.41711682
himachal pradesh,bilaspur,24.228989,32.88905,2.0057924,10.135427,94.887794,3.8176103,697062.2563,8.0427971,91.957199,5.0096889,76.513962,20.193245,3.2927942,75.771011,18.714636,54.658264,18.593897,49.455624,55.620647,202.2485106,34.798092,10.915233,5.2851233,92.812553,7.511682,641813.44,4.331809,66.179489,66.179489,96.502411,100,79.63176,76.862755,12.215601,15.004868,15.103104,5.3649907,7.1726694,14.397475,15.07912,25.999722,47.646763,41.617523,8.8766575,32.067192,36.054848,35.018387,26.449234,3.5506501,10.385088,39.809724
himachal pradesh,solan,17.438087,31.665956,1.9615002,9.9299402,91.252914,4.034246,855662.4493,21.919538,78.08046,5.1100078,73.835632,23.249626,2.9147429,80.924988,21.073336,57.975071,20.2612,47.218506,57.118809,346.7476655,31.834078,10.939259,1.2634044,96.809296,25.828154,780208.88,4.7884307,57.589054,57.589054,87.274048,98.363075,77.453629,75.703224,2.3270335,2.7876728,6.3871303,0.51441723,0.60932285,5.4223328,3.2638397,10.895391,11.708704,14.464635,6.7540436,13.919284,22.15749,23.226673,6.9393344,2.3925402,7.509038,91.01677856
himachal pradesh,sirmaur,27.226799,31.525702,1.77288,8.955945,86.568062,3.6819432,633284.9314,11.996962,88.003036,5.7131262,71.588608,24.825312,3.5860736,64.291534,24.993511,58.335529,17.047777,45.416401,69.035294,282.3362011,33.146351,9.7018948,5.809175,89.177879,9.6220665,749000.19,5.582746,63.096542,63.096542,96.334488,91.518333,82.187675,69.629822,5.2419648,3.8952951,4.2901845,2.2645171,1.5852958,3.6594391,6.4588585,10.047908,40.343021,40.173798,5.1276145,10.63675,22.734217,26.28401,12.315165,6.0790558,15.783124,71.08067559
himachal pradesh,shimla,4.8017502,32.412907,2.1090319,10.840944,92.564552,3.7240481,618760.2622,34.982578,65.017418,4.6938047,70.797043,25.815163,3.3877954,92.886009,30.71833,49.561527,16.098288,55.503719,39.128429,485.4513184,34.457283,11.139555,5.1471353,95.088074,33.611279,743861.94,4.7141366,63.416164,63.416164,98.713844,97.687759,92.754951,75.635178,0.59243935,2.8018785,1.9065311,2.5376074,2.0992517,1.8159548,4.9888415,8.3751154,37.648247,34.392212,5.0146699,9.9677048,15.744178,33.811058,14.306101,1.8901623,20.857635,100.5206747
himachal pradesh,kinnaur,11.762932,32.84605,1.8805771,9.3461504,91.213028,3.1812496,264406.6902,0,100,4.3868651,75.60614,20.933285,3.4605734,86.574348,15.670988,55.279926,16.71064,50.618385,59.822803,38.33645209,34.126644,9.1887054,6.9993243,87.674751,0,125033.73,4.2057819,69.458893,69.458893,80.575012,98.33728,87.879074,74.364525,5.6300254,4.0701241,6.1872492,2.089638,2.0736234,6.2626562,6.3688159,12.443216,28.569609,30.133238,11.785162,20.034397,30.977102,56.104004,26.726168,16.256525,24.262589,12.06390698
punjab,kapurthala,30.619263,31.784657,1.8505751,9.4501905,87.506226,4.5413094,1247243.182,34.901134,65.098862,5.5309439,66.257713,28.859568,4.8827186,67.102425,33.553543,65.436729,22.330275,36.20908,61.070518,455.9484412,32.441349,9.4422417,7.968329,86.020874,36.525272,1240848.9,5.4948335,57.198006,57.198006,97.953522,97.721687,97.499954,75.618782,16.844353,12.994176,14.898925,2.6574178,4.2664127,8.6837559,21.827541,28.571611,31.456789,14.796184,3.4524541,5.7071209,11.966735,19.504997,10.991524,4.8285065,8.8727579,33.29924226
punjab,jalandhar,22.566368,31.94726,1.9561077,9.9522352,90.565056,4.6272197,1320532.374,51.568432,48.431568,5.2369175,68.230995,27.17137,4.5976281,69.398132,28.367117,55.807453,17.827581,43.985741,61.911591,1224.334097,31.42757,9.1426668,5.2653494,85.693413,58.889614,1254026.3,5.1821709,46.639626,46.639626,93.954994,91.9645,90.152649,73.873276,11.2481,11.924681,13.407545,8.315979,5.3659635,13.119115,17.184376,21.770679,29.410795,13.658894,5.4472537,6.24301,10.199913,37.484959,23.038982,7.090436,20.471943,95.82691193
