district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents
adilabad,32.65306091,telangana,50.138683,30.608635,1.3540546,6.6189284,65.587166,16.131357,29.970905,7.6727839,44.743126,45585.53879,2.8541787,26.268356,73.731644,4.6940379,72.894798,7.9924488,40.360081,31.518677,425.6452859,33.313477,7.6298842,72.538597,24.6786,5.6322956,31.023142,58.373188,4.9713755,-87495.391,4.9544497,68.523384,90.498764,0.0,82.563492,95.73362327
agar malwa,,madhya pradesh,70.38485,30.799053,1.1530837,5.2600293,64.495285,19.424776,2.9788249,22.774286,54.695629,-43777.08605,2.7183945,20.300821,79.699181,5.2127409,76.752434,3.3045502,22.350174,22.801432,280.008604,32.0219,6.5192738,68.326218,20.185007,23.761957,2.7863727,35.270084,38.181583,-192475.52,4.5938482,68.137161,92.735023,0.0,76.983971,19.52222714
agra,5.569007397,uttar pradesh,47.109463,29.445339,1.453236,7.0034637,71.480148,32.112534,0.7277863,26.152796,40.783588,646733.3734,3.7223408,60.984074,39.015923,6.4110012,68.531441,3.6582935,39.867786,37.12693,3120.939262,30.471294,8.7931261,75.65699,54.694824,25.397882,0.0,35.849163,38.752956,500557.25,6.4731264,63.489891,86.977249,0.0,66.620262,153.2311005
ahmadabad,14.34302902,gujarat,26.449638,31.456207,1.7723805,8.4026508,84.075867,21.410913,7.3571963,27.426104,43.560951,1033666.587,4.2530665,82.109169,17.890827,5.6645598,71.854576,4.6656866,71.727058,50.406158,3747.728083,32.536858,10.14802,94.327286,83.697105,21.765234,4.5932441,41.576233,32.065289,1144382.0,5.270638,62.246628,98.176697,0.0,83.20517,831.4998403
ahmadnagar,,maharashtra,51.732426,30.833387,1.8261687,8.6400986,88.874695,11.696818,10.957435,50.754566,26.479193,409558.0277,3.3438842,22.383564,77.616432,5.7037516,76.23156,4.9239135,44.230579,48.692009,2684.663984,34.47768,10.273335,90.817871,21.987316,6.9514222,18.774988,18.7561,53.778488,427473.66,5.4058876,69.195099,95.963005,0.0,79.40316,593.1125557
aizawl,30.34705544,mizoram,3.9138107,31.339737,2.1358807,10.475488,99.083,0.77224058,98.299858,0.087032929,0.73212808,937246.3835,4.1948848,84.308899,15.691103,4.9260492,49.822937,9.1969824,89.576729,40.623848,238.4269913,30.141907,10.696735,99.125809,84.909012,0.87418872,97.608315,1.5174954,0.0,842287.25,4.9399819,42.179523,93.49054,0.0,73.155289,45.0957548
ajmer,18.18181801,rajasthan,37.285614,29.882622,1.5469142,7.5122757,74.561104,19.824242,4.033917,17.955523,57.822365,684030.8911,3.765135,40.577911,59.422089,6.0866747,71.618927,3.4404862,56.459435,42.563461,1577.283944,31.545586,9.4668779,90.663681,45.795406,17.071468,0.0,60.343384,22.585146,689864.63,6.1011224,64.588463,93.745049,0.0,79.408226,106.4366314
akola,,maharashtra,59.235783,31.213789,1.9187055,9.2324762,94.955788,19.016052,6.2401104,31.445049,43.298786,486739.1376,3.4955359,41.884754,58.115242,5.7249122,74.170532,4.4875727,36.305775,46.385227,1175.62543,32.966949,9.063652,89.504486,34.011383,15.795233,0.52411956,42.903305,40.777344,311653.5,5.9771538,65.499672,95.541557,0.0,84.197304,299.7400842
alappuzha,22.1374054,kerala,24.17186,33.402626,2.3565857,11.946559,100.0,8.8746719,0.0,31.614292,58.647038,905582.9106,4.1097608,53.987495,46.012505,4.3907514,74.173584,3.6760502,75.82814,44.910583,1072.437886,36.207813,11.276764,97.457664,54.131668,5.6153083,0.0,64.267303,29.311943,854492.0,4.1400566,58.293736,100.0,0.0,68.86618,257.3652574
aligarh,7.014028072,uttar pradesh,47.432156,29.21187,1.4431889,7.0264025,72.836426,23.222879,1.3749776,28.299145,46.594559,436101.4508,3.4192889,34.734016,65.265984,6.1125064,70.816963,3.2342355,42.557949,35.187561,2041.512156,30.181339,9.5186338,82.018028,35.748196,25.731199,0.0,44.060196,29.593527,394396.5,6.329123,61.385391,89.990105,0.0,74.946686,134.6263062
alirajpur,51.66666412,madhya pradesh,55.882538,30.347233,0.83454502,3.9185576,43.398693,5.2092366,86.839432,2.3865502,5.5647836,-640990.8585,1.9130424,8.461257,91.538742,5.8776193,73.65757,2.0326216,26.448151,28.217442,342.3368777,34.153812,4.8653879,51.728832,7.2928391,16.988388,74.320564,6.7462883,1.9447571,-726985.19,5.5161147,73.72612,82.330688,0.0,85.966736,21.8867451
allahabad,8.333333969,uttar pradesh,36.946854,29.331713,1.6427829,8.1166878,76.124741,27.815607,1.6570324,18.375158,52.045757,-201862.9452,2.5705671,24.656569,75.34343,6.6498656,67.253403,3.2392282,50.668915,33.479298,3555.33173,29.922348,10.797319,88.809654,27.28174,26.413464,0.0,35.289322,38.297211,133000.47,6.1794419,50.968044,87.615768,0.0,63.290234,208.8272896
almora,37.42331314,uttarakhand,3.3341293,31.006401,1.8652743,9.2163525,90.087143,25.022728,0.91910958,71.513046,2.5451219,-41215.74151,2.6828148,9.681879,90.318123,4.8232632,67.392563,4.8327041,85.647346,29.910637,309.5231623,32.180264,11.222262,98.85228,12.476347,16.8997,0.0,7.5663261,75.533974,171042.5,4.5731034,54.964066,88.981476,0.0,60.241753,13.61745496
alwar,26.34854889,rajasthan,45.292171,29.077103,1.4099511,6.7734008,68.024284,22.034092,9.9285889,16.008549,50.527225,407833.7139,3.3663285,19.885101,80.114899,6.4992599,73.96077,3.3334429,47.089634,38.077267,2138.375944,30.253847,9.9585762,86.557442,19.5555,10.892116,8.9907007,61.027454,19.089727,461276.28,6.0599265,65.225311,92.381805,0.0,61.171616,136.6316339
ambala,12.99435043,haryana,27.406693,31.195633,1.9668356,9.677227,91.092369,37.928936,0.62845635,32.646236,26.968008,1091779.957,4.3310695,37.507732,62.492268,5.4829679,68.517097,4.7336369,62.521507,41.0116,583.7816879,31.460323,10.199276,89.580261,43.343086,44.650364,0.0,25.408558,28.87533,1072486.0,5.4264326,55.810799,89.9282,0.0,74.914871,38.99915083
ambedkar nagar,6.410256863,uttar pradesh,39.018898,28.786942,1.8396456,9.1095886,81.277687,32.062737,0.30812532,10.655881,56.892895,-405439.2177,2.2265944,12.11037,87.889633,6.502625,60.110126,2.2304332,47.651794,32.848392,1343.322233,30.56431,9.1991301,83.803871,14.067086,29.598486,3.1600931,54.875038,12.36638,-491977.25,6.4408498,49.195663,86.670692,0.0,77.04567,82.07492498
